aeropuerto,oac,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
GAA,,,Aerodromo,GUALEGUAY/AGROAEREO GUALEGUAY,"""33° 2'18""""S  59°26'24""""W""",-59.43992,-33.03832,16,Metros,Gualeguay,17,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
PEP,,,Aerodromo,RICARDONE/PETTILEP II,"""32°48'14""""S  60°47'56""""W""",-60.79888889,-32.80388889,55,Metros,Ricardone,4,SSO,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SANTA FE
CAF,,,Aerodromo,CAFAYATE,"""26° 3'51""""S  65°55'50""""W""",-65.93055556,-26.06416667,1639,Metros,Cafayate,1,NO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SALTA
TEO,,,Aerodromo,TEODELINA/F.A.T.,"""34°10'36""""S  61°30'25""""W""",-61.50694444,-34.17666667,87,Metros,Teodelina,1,E,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
VDA,,,Aerodromo,VEDIA,"""34°29'10""""S  61°29'23""""W""",-61.48972222,-34.48611111,89,Metros,Vedia,5,NE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
VPO,,,Aerodromo,VILLA OCAMPO,"""28°29'46""""S  59°19'34""""W""",-59.32612,-28.49598,49,Metros,Villa Ocampo,2.5,O,PUBLICO,NOCONTROL,RANE,,Nacional,NO,NO,SANTA FE
BAR,SAZS,BRC,Aerodromo,SAN CARLOS DE BARILOCHE,"""41° 9' 4""""S  71° 9'28""""W""",-71.15777778,-41.15111111,846,Metros,San Carlos de Bariloche,13,E,PUBLICO,CONTROL,RACE,,Internacional,SI,SI,RIO NEGRO
HIS,,,Helipuerto,LA MATANZA/CAMPANOPOLIS,"""34°47'30""""S  58°36' 7""""W""",-58.601878,-34.791733,6,Metros,Aeropuerto Ezeiza / Ministro Pistarini,7,ONO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
AJA,,,Aerodromo,LA LAJA,"""31°21' 5""""S  68°28'23""""W""",-68.47305556,-31.35138889,650,Metros,La Laja,1,SSE,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SAN JUAN
BDR,,,Aerodromo,BAHIA DORADA,"""41°50'34""""S  65° 4'56""""W""",-65.08222222,-41.84277778,36,Metros,Sierra Grande,35,SE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,RIO NEGRO
BTA,,,Aerodromo,BELLA VISTA,"""28°31'34""""S  59° 2'17""""W""",-59.03805556,-28.52611111,55,Metros,Bella Vista,0,Lindando,PUBLICO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
OCA,,,Aerodromo,MONTES DE OCA,"""32°35' 3""""S  61°50'30""""W""",-61.84167,-32.58417,19,Metros,Montes de Oca,9,OSO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
CHA,,,Aerodromo,CHARATA,"""27°12'59""""S  61°12'36""""W""",-61.21011,-27.21639,92,Metros,Charata,10,S,PUBLICO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CHACO
HGA,,,Helipuerto,CAÑUELAS/CAÑUELAS GAS S.A.,"""35° 3'30""""S  58°47'17""""W""",-58.788161,-35.058342,30,Metros,Cañuelas,9,OSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ACB,,,Aerodromo,CORONEL BOGADO/AGROSERVICIOS,"""33°16'20""""S  60°34'14""""W""",-60.57066,-33.27226,44,Metros,Coronel Bogado,6,NE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
ETB,,,Aerodromo,EL TREBOL,"""32°12'58""""S  61°42'59""""W""",-61.71634,-32.2162,92,Metros,El Trebol,5,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
HBC,,,Helipuerto,BUENOS AIRES/B. CHURRUCA,"""34°38'27""""S  58°24'34""""W""",-58.409441,-34.64073,6,Metros,Ciudad de Buenos Aires,0,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CIUDAD AUTONOMA DE BUENOS AIRES
LDR,SAOD,VDR,Aerodromo,VILLA DOLORES,"""31°56'51""""S  65° 8'51""""W""",-65.1475,-31.9475,563,Metros,Cordoba,0,Lindando,PUBLICO,AERADIO,RANO,,Nacional,NO,NO,CORDOBA
MPH,,,Aerodromo,MAR DEL PLATA/PARQUE HERMOSO,"""38° 1'42""""S  57°38'23""""W""",-57.63972222,-38.02833333,35,Metros,Parque Hermoso,9,OSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ULL,,,Helipuerto,RIO CULLEN/TOTAL AUSTRAL,"""52°53'37""""S  68°21'19""""W""",-68.355331,-52.893494,16,Metros,Cullen,6,E,PRIVADO,NOCONTROL,RASU,,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
FRA,,,Aerodromo,SAN FRANCISCO,"""31°24'47""""S  62° 7'59""""W""",-62.13305556,-31.41305556,114,Metros,San Francisco,5,ONO,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
