aeropuerto,oac,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,uso,trafico,sna,concesionado,provincia
DOZ,SAME,MDZ,Aerodromo,MENDOZA/EL PLUMERILLO,"""32°49'54""""S  68°47'34""""W""",-68.79277778,-32.83166667,704,Metros,Mendoza,8,NE,PUBLICO,CONTROL,RANO,,Internacional,SI,SI,MENDOZA
ECX,,,Aerodromo,EDUARDO CASTEX,"""35°52'56""""S  64°16'30""""W""",-64.275,-35.88222222,183,Metros,Eduardo Castex,4.5,NE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
HDT,,,Helipuerto,DON TORCUATO/TIMEN S.A.,"""34°29'46""""S  58°36'29""""W""",-58.608031,-34.496085,6,Metros,Ex Aerodromo Don Torcuato,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HIL,,,Helipuerto,GRAL. VILLEGAS/SAN ISIDRO LABRADOR II,"""35° 4'54""""S  63° 4'48""""W""",-63.079953,-35.081749,115,Metros,General Villegas,8,SE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
MLG,SAMM,LGS,Aerodromo,MALARGÜE/COMODORO D. RICARDO SALOMON,"""35°29'43""""S  69°34'23""""W""",-69.57305556,-35.49527778,1424,Metros,Malargüe,1,S,PUBLICO,CONTROL,RANO,,Nacional,SI,SI,MENDOZA
TEC,,,Aerodromo,ESTANCIA TECKA,"""43°36'44""""S  71° 1'19""""W""",-71.02194444,-43.61222222,720,Metros,Estancia Tecka,2.8,O,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,CHUBUT
CED,,,Aerodromo,MERCEDES,"""33°38'32""""S  65°25'14""""W""",-65.42051,-33.6422,515,Metros,Villa Mercedes,3,NE,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,SAN LUIS
ESN,,,Aerodromo,ESQUINA,"""30° 2'51""""S  59°32' 7""""W""",-59.53521,-30.04762,39,Metros,Esquina,4,S,PUBLICO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
HDA,,,Helipuerto,BUENOS AIRES/DARSENA SUR,"""34°37'40""""S  58°21' 6""""W""",-58.351532,-34.627862,5,Metros,Isla Demarchi,0,O,PUBLICO,NOCONTROL,RACE,MIL,Nacional,NO,NO,CIUDAD AUTONOMA DE BUENOS AIRES
HAI,,,Helipuerto,VILLA CARLOS PAZ/NORBERTO CORDEIRO,"""31°24'51""""S  64°29'49""""W""",-64.497037,-31.41415,621,Metros,Margen E Rio San Antonio y Rio Uruguay,0,Lindando,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
TIN,SANI,,Aerodromo,TINOGASTA,"""28° 2'27""""S  67°34'39""""W""",-67.57759,-28.04089,1210,Metros,Tinogasta,1,NO,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,CATAMARCA
MOI,,,Aerodromo,CORRALITO/DON MOISES,"""32° 2' 8""""S  64°11'28""""W""",-64.19111111,-32.03555556,489,Metros,Corralito,1.5,S,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
VDR,,,Aerodromo,VILLA DEL ROSARIO,"""31°34'50""""S  63°32'20""""W""",-63.53888889,-31.58055556,253,Metros,Villa del Rosario,1.5,S,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
DOL,SAZD,,Aerodromo,DOLORES,"""36°19'12""""S  57°43'14""""W""",-57.72055556,-36.32,10,Metros,Dolores,4,O,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HDL,,,Helipuerto,JUNIN DE LOS ANDES/CASA DE LATA,"""39°48'56""""S  71°10'12""""W""",-71.16995,-39.815579,982,Metros,Junin de los Andes,12,N,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
HHM,,,Helipuerto,SALTA/HOSPITAL DE MILAGRO,"""24°46'23""""S  65°24'56""""W""",-65.415621,-24.772921,1240,Metros,Salta,3,N,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SALTA
JMB,,,Aerodromo,TRES LOMAS,"""36°26'35""""S  62°52'45""""W""",-62.87927,-36.44296,116,Metros,Tres Lomas,2,NO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
LMF,,,Aerodromo,LOS MOLINOS/ESTABLECIMIENTO LA FLORENCIA,"""33° 4'45""""S  61°18'59""""W""",-61.31628,-33.07912,75,Metros,Los Molinos,3,NNE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
SUZ,SAZC,CSZ,Aerodromo,CORONEL SUAREZ/BRIG. D. H. E.  RUIZ,"""37°26'46""""S  61°53'22""""W""",-61.88934,-37.44609,234,Metros,Coronel Suarez,3,ENE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HLU,,,Helipuerto,LUJAN/TRANSENER S.A.,"""32°22' 0""""S  66° 3'59""""W""",-66.066423,-32.366669,600,Metros,Lujan,9,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SAN LUIS
SMS,,,Aerodromo,SAN MARCOS/CHIALVA S.H.,"""32°44'12""""S  62°31'52""""W""",-62.53111111,-32.73666667,115,Metros,Bell Ville,19,SE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
SRE,,,Aerodromo,SANTA REGINA/FORTIN DE GAINZA,"""34°32'48""""S  63° 7'28""""W""",-63.12451,-34.54661,130,Metros,Santa Regina,3,E,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
CTP,,,Aerodromo,CATRILO/ESTABLECIMIENTO LA MARIA PILAR,"""36°29'19""""S  63°25'59""""W""",-63.43305556,-36.48861111,125,Metros,Catrilo,9,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,LA PAMPA
GOM,,,Aerodromo,CAÑADA DE GOMEZ,"""32°48'32""""S  61°21'57""""W""",-61.36579,-32.80887,82,Metros,Cañada de Gomez,1.5,E,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
JCM,,,Aerodromo,JUAREZ CELMAN/BRIG. MY. JUAN IGNACIO SAN MARTIN,"""31°12'40""""S  64° 9'38""""W""",-64.16064,-31.21113,495,Metros,Juarez Celman,20,N,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
VRU,,,Aerodromo,VILLA RUMIPAL/PRIMER TENIENTE MARIO NIVOLI,"""32°11' 3""""S  64°29'20""""W""",-64.48888889,-32.18416667,666,Metros,Villa Rumipal,0,ENE,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
ARB,,,Aerodromo,ARRIBEÑOS,"""34°13'19""""S  61°23'12""""W""",-61.38666667,-34.22194444,82,Metros,Arribeños,3.3,SO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HMM,,,Helipuerto,DR. MARIANO MORENO,"""34°33'46""""S  58°47'26""""W""",-58.790569,-34.562908,32,Metros,Jose C. Paz,7,S,PRIVADO,NOCONTROL,RACE,MIL,Nacional,NO,NO,BUENOS AIRES
MGI,,,Aerodromo,ISLA MARTIN GARCIA,"""34°10'56""""S  58°14'49""""W""",-58.24694444,-34.18222222,2,Metros,Isla Martin Garcia,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
RJA,,,Aerodromo,ROJAS,"""34°12'55""""S  60°40'24""""W""",-60.67325,-34.21534,6,Metros,Rojas,6,SE,PUBLICO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
SCL,,,Aerodromo,SANTA CLARA DE SAGUIER,"""31°21'20""""S  61°49'47""""W""",-61.82983,-31.35548,105,Metros,Santa Clara de Saguier,2.5,SSO,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SANTA FE
RLA,SAFR,,Aerodromo,RAFAELA,"""31°16'57""""S  61°30' 6""""W""",-61.50166667,-31.2825,99,Metros,Rafaela,3.5,S,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,SANTA FE
VEZ,,,Aerodromo,GALVEZ,"""32° 2' 7""""S  61°10'40""""W""",-61.17777778,-32.03527778,41,Metros,Galvez,4,E,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
GRA,SAWE,RGA,Aerodromo,RIO GRANDE,"""53°46'39""""S  67°44'58""""W""",-67.74952,-53.7776,20,Metros,Rio Grande,9,NO,PUBLICO,CONTROL,RASU,,Internacional,SI,SI,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
HEA,,,Helipuerto,HELIPLATAFORMA AM6,"""52°36'30""""S  68° 7'40""""W""",-68.127778,-52.608333,32,Metros,Cabo Virgenes,34,SE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
NEU,SAZN,NQN,Aerodromo,NEUQUEN/PRESIDENTE PERON,"""38°56'56""""S  68° 9'21""""W""",-68.15583333,-38.94888889,273,Metros,Neuquen,8,ONO,PUBLICO,CONTROL,RACE,,Internacional,SI,SI,NEUQUEN
SER,,,Aerodromo,SERODINO/FUMIGACIONES STANDLER,"""32°34'47""""S  60°54'34""""W""",-60.90944,-32.57978,37,Metros,Serodino,5,NE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
CHM,SAHC,HOS,Aerodromo,CHOS MALAL,"""37°26'39""""S  70°13'23""""W""",-70.22305556,-37.44416667,850,Metros,Chos Malal,10,S,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
DAR,,,Aerodromo,DARREGUEIRA,"""37°42'44""""S  63° 9'45""""W""",-63.16253,-37.7122,198,Metros,Darregueira,1.5,SSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HEV,,,Helipuerto,ALMIRANTE BROWN/DESTACAMENTO POLICIAL EL VAPOR,"""34°50' 5""""S  58°23' 6""""W""",-58.384984,-34.834672,28,Metros,Destacamento Policial El Vapor,0,Lindando,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
MEZ,,,Aerodromo,CORDOBA/LA MEZQUITA,"""31°24' 4""""S  64°18' 1""""W""",-64.3003,-31.40103,510,Metros,La Mezquita,6,O,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
PLS,,,Aerodromo,PIRANE/EA. LA SALVACION,"""25°16'52""""S  58°56'16""""W""",-58.93781,-25.281,98,Metros,Pirane,52,NNE,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,FORMOSA
SHP,,,Aerodromo,SAN ANTONIO DE ARECO/HARAS LA POMME,"""34°12'40""""S  59°23'30""""W""",-59.39154,-34.21122,28,Metros,San Antonio de Areco,6.5,NE,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
BAI,,,Aerodromo,LAGO BUENOS AIRES,"""46°34'34""""S  70°56'53""""W""",-70.94805556,-46.57611111,387,Metros,Perito Moreno,2.5,NNO,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,SANTA CRUZ
BOL,SAVB,EHL,Aerodromo,EL BOLSON,"""41°56'36""""S  71°31'56""""W""",-71.53215,-41.94323,348,Metros,El Bolson,0,Lindando,PUBLICO,AERADIO,RASU,CIVIL,Nacional,NO,NO,RIO NEGRO
CLT,,CCT,Aerodromo,COLONIA CATRIEL,"""37°54'29""""S  67°49'44""""W""",-67.82881,-37.90819,313,Metros,Catriel,4,SSO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,RIO NEGRO
HSR,,,Helipuerto,SANTA CRUZ/EA. SAN RAMON,"""50°18'11""""S  69°55' 4""""W""",-69.917664,-50.303036,374,Metros,Puerto Santa Cruz,104,SO,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,SANTA CRUZ
PAR,SAAP,PRA,Aerodromo,PARANA/GRAL. URQUIZA,"""31°47'41""""S  60°28'49""""W""",-60.48027778,-31.79472222,74,Metros,Parana,7.5,SE,PUBLICO,CONTROL,RACE,,Nacional,SI,SI,ENTRE RIOS
BLN,,,Aerodromo,LONDRES/BELEN,"""27°42'29""""S  67° 5'42""""W""",-67.095,-27.70805556,1200,Metros,Belen,2,NE,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,CATAMARCA
HAU,,,Helipuerto,BUENOS AIRES/AUTODROMO CIUDAD DE BS. AS.,"""34°41'38""""S  58°27'38""""W""",-58.460425,-34.693918,16,Metros,,0,Lindando,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CIUDAD AUTONOMA DE BUENOS AIRES
HBI,,,Helipuerto,CORDOBA/HELIPUERTO CENTRO CIVICO BICENTENARIO,"""31°25'13""""S  64°10'24""""W""",-64.173382,-31.420398,392,Metros,Aeropuerto,12,SSE,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
HVM,,,Helipuerto,VILLA MARTELLI/CITEFA,"""34°33'28""""S  58°30'20""""W""",-58.505501,-34.557728,17,Metros,Zufriategui,,0,Lindando,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO
TDB,,,Aerodromo,EL TREBOL/DE BERNARDO,"""32°15' 2""""S  61°39' 6""""W""",-61.65166667,-32.25055556,87,Metros,El Trebol,7,SE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,SANTA FE
ZLM,,,Aerodromo,BELL VILLE/LA ZULEMA,"""32°29'23""""S  62°40'17""""W""",-62.67138889,-32.48972222,129,Metros,Bell Ville,13,N,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
CHC,,,Aerodromo,CHAJARI/EA. LA CHOZA,"""30°32'20""""S  58°17'34""""W""",-58.29287,-30.53899,72,Metros,Chajari,39,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
ELL,,,Aerodromo,MAR DEL SUR/EA. LUCILA,"""38°18'31""""S  58° 6'18""""W""",-58.105,-38.30861111,22,Metros,Mar del Sur,5,SE,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,BUENOS AIRES
IJC,SAVJ,IGB,Aerodromo,INGENIERO JACOBACCI/CABO F.A.A. H. R. BORDON,"""41°19'16""""S  69°34'34""""W""",-69.57611111,-41.32111111,892,Metros,Ingeniero Jacobacci,2.5,ONO,PUBLICO,AERADIO,RASU,CIVIL,Nacional,NO,NO,RIO NEGRO
MAQ,SAVQ,MQD,Aerodromo,MAQUINCHAO,"""41°14'34""""S  68°42'30""""W""",-68.70828,-41.24288,880,Metros,Maquinchao,0,NE,PUBLICO,NOCONTROL,RASU,,Nacional,NO,NO,RIO NEGRO
PRA,,,Aerodromo,PRESIDENTE ROCA/EA. LA LEONOR,"""26° 8'16""""S  59°39'50""""W""",-59.66378,-26.13774,87,Metros,Presidencia Roca,7,O,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,CHACO
RCR,,,Aerodromo,RIO TERCERO,"""32°10'22""""S  64° 5'18""""W""",-64.08833333,-32.17277778,380,Metros,Rio Tercero,1.5,E,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,CORDOBA
CHT,,,Aerodromo,CHARATA/EL GRINGO,"""27°18'23""""S  61°12'37""""W""",-61.21041,-27.30629,92,Metros,Charata,10,S,PRIVADO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CHACO
CSJ,,,Aerodromo,MORTEROS/CAMPO SAN JOSE,"""30°46'37""""S  62° 0'53""""W""",-62.01466,-30.77697,101,Metros,Morteros,6,SO,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
CVV,,,Aerodromo,VILLA VALERIA,"""34°21'23""""S  64°54' 4""""W""",-64.90111111,-34.35638889,290,Metros,Villa Valeria,2,SE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
MCP,,,Aerodromo,MONTE CASEROS/EL PILINCHO,"""30°23'14""""S  57°58' 6""""W""",-57.96833333,-30.38722222,71,Metros,Monte Caseros,35,OSO,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,CORRIENTES
DOF,,,Aerodromo,MARTINEZ DE HOZ/FUMIGACIONES ORTEGA,"""35°16'41""""S  61°33'13""""W""",-61.55366,-35.27799,89,Metros,Coronel Martinez de Hoz,8,ENE,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
EMA,SAVD,EMX,Aerodromo,EL MAITEN,"""42° 1'48""""S  71°10'15""""W""",-71.17083333,-42.03,718,Metros,El Maiten,3,N,PUBLICO,AERADIO,RASU,CIVIL,Nacional,NO,NO,CHUBUT
GYT,,,Aerodromo,GOBERNADOR GARMENDIA/AGRO SERVICIO YORIS,"""26°34'45""""S  64°31'43""""W""",-64.52869,-26.57916,318,Metros,Gobernador Garmendia,3,E,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,TUCUMAN
HPS,,,Helipuerto,PACHON/HELIPUERTO PACHON MINERA S.A.,"""31°45'36""""S  70°24'44""""W""",-70.41209,-31.760056,3600,Metros,Pachon,0,Lindando,PRIVADO,NOCONTROL,RANO,,Nacional,NO,NO,SAN JUAN
VNR,,,Aerodromo,VILLA NUEVA/RAIG SA,"""32°26'17""""S  63°17'22""""W""",-63.28930556,-32.43816667,206,Metros,Villa Maria,5,SO,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
EZE,SAEZ,EZE,Aerodromo,EZEIZA/MINISTRO PISTARINI,"""34°49'20""""S  58°32' 9""""W""",-58.53583333,-34.82222222,20.5,Metros,Capital Federal,22,SSO,PUBLICO,CONTROL,RACE,CIVIL,Internacional,SI,SI,BUENOS AIRES
HTA,,,Helipuerto,CONCEPCION DEL URUGUAY/HELIPUERTO TALITAS,"""32°32'53""""S  58°14'27""""W""",-58.240705,-32.548188,8,Metros,Concepcion del Uruguay,17,SSO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,ENTRE RIOS
PSA,,,Aerodromo,PIGÜE/SERVICIOS AERONAUTICOS,"""37°31'23""""S  62°27' 8""""W""",-62.45231389,-37.52304444,247,Metros,Pigüe,9,NNO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
VDO,,,Aerodromo,EL CORCOVADO,"""43°31'58""""S  71°29' 9""""W""",-71.48582,-43.53287,600,Metros,,0,Lindando,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,CHUBUT
CCA,SATU,UZU,Aerodromo,CURUZU CUATIA,"""29°46'21""""S  57°58'58""""W""",-57.98277778,-29.7725,70,Metros,Curuzu Cuatia,4,ENE,PUBLICO,AERADIO,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
GYA,,,Aerodromo,GOYA/AEROCLUB,"""29°10'11""""S  59°14'49""""W""",-59.24699,-29.16975,38,Metros,Goya,1.5,SE,PRIVADO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
HUI,,,Aerodromo,HUINCA RENANCO,"""34°49'13""""S  64°22'27""""W""",-64.37412,-34.82041,180,Metros,Huinca Renanco,2,N,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CORDOBA
HVA,,,Helipuerto,TIGRE/VILLA LA ÑATA,"""34°22'31""""S  58°39'21""""W""",-58.655755,-34.375231,3,Metros,Estacion FFCC Tigre,8.6,NO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
UIS,SAOU,LUQ,Aerodromo,SAN LUIS/BRIG. MAYOR D. CESAR RAUL OJEDA,"""33°16'20""""S  66°21'24""""W""",-66.35666667,-33.27222222,710,Metros,San Luis,3.8,NO,PUBLICO,CONTROL,RANO,,Nacional,SI,SI,SAN LUIS
BAD,,,Aerodromo,BERON DE ASTRADA/DINALUCA S.A.,"""27°22'58""""S  57°38'39""""W""",-57.64416667,-27.38277778,67,Metros,Beron de Astrada,21,NNO,PRIVADO,NOCONTROL,RANE,CIVIL,Nacional,NO,NO,CORRIENTES
MDP,SAZM,MDQ,Aerodromo,MAR DEL PLATA/ASTOR PIAZZOLLA,"""37°56' 3""""S  57°34'24""""W""",-57.57333333,-37.93416667,22,Metros,Mar del Plata,7,N,PUBLICO,CONTROL,RACE,,Internacional,SI,SI,BUENOS AIRES
PBO,,,Aerodromo,POSADAS/BONETTI,"""27°36'24""""S  55°51'54""""W""",-55.86498,-27.60678,141,Metros,Parada Leis,3,O,PRIVADO,NOCONTROL,RANE,,Nacional,NO,NO,MISIONES
SEN,,,Aerodromo,CORONEL BRANDSEN,"""35°10'54""""S  58°17'43""""W""",-58.29517,-35.18174,16,Metros,Coronel Brandsen,5,O,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
HCI,,,Helipuerto,BELEN DE ESCOBAR/CABAÑA SAN ISIDRO LABRADOR I,"""34°22'43""""S  58°47'19""""W""",-58.78852,-34.378674,12,Metros,Belen de Escobar,3,SSE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
ICO,,,Aerodromo,COMODORO RIVADAVIA/13 DE DICIEMBRE,"""45°54'15""""S  67°33'32""""W""",-67.55888889,-45.90416667,52,Metros,Comodoro Rivadavia,8,SSO,PUBLICO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,CHUBUT
SFN,,,Aerodromo,SELVA NUEVA/FUMIGACIONES NANDO S.H.,"""29°46'45""""S  62° 1'52""""W""",-62.03107,-29.77908,86,Metros,Selva,2,SE,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,SANTIAGO DEL ESTERO
EGO,,,Aerodromo,LAS PAREJAS/EL GAUCHO,"""32°37'46""""S  61°32'40""""W""",-61.54444444,-32.62944444,105,Metros,Las Parejas,6,NNO,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
LPR,,,Aerodromo,LAPRIDA,"""37°31'15""""S  60°46'42""""W""",-60.77833333,-37.52083333,210,Metros,Laprida,2,NE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
NPA,,,Aerodromo,NECOCHEA/PULVERIZACIONES AEROSUR,"""38°34'31""""S  58°47'42""""W""",-58.795,-38.57527778,15,Metros,Necochea,5.5,SO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,BUENOS AIRES
RVD,,,Aerodromo,RIVADAVIA,"""33°13'42""""S  68°28'27""""W""",-68.47406,-33.22834,659,Metros,Rivadavia,3,S,PUBLICO,NOCONTROL,RANO,,Nacional,NO,NO,MENDOZA
BTS,,,Aerodromo,CORRAL DE BUSTOS,"""33°16'53""""S  62° 9' 5""""W""",-62.15138889,-33.28138889,120,Metros,Corral de Bustos,2,O,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,CORDOBA
SJA,,,Aerodromo,SAN JUAN/AEROCLUB,"""31°36'11""""S  68°32'50""""W""",-68.54722222,-31.60305556,634,Metros,San Juan,7,S,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SAN JUAN
BEX,,,Aerodromo,BARADERO,"""33°51'31""""S  59°28' 9""""W""",-59.46911,-33.85864,26,Metros,Pueblo Alsina,9,NO,PRIVADO,NOCONTROL,RACE,ULM,Nacional,NO,NO,BUENOS AIRES
BLC,,,Aerodromo,BALCARCE/EA. LOS CARDOS,"""37°44' 7""""S  58° 2'18""""W""",-58.03821,-37.73529,120,Metros,Balcarce,21,NE,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,BUENOS AIRES
IAA,,,Aerodromo,INTENDENTE ALVEAR/AZCARATE IRATORSA,"""35°11'19""""S  63°36'38""""W""",-63.61052,-35.18862,127,Metros,Intendente Alvear,5,NNO,PRIVADO,NOCONTROL,RACE,AEROAPP,Nacional,NO,NO,LA PAMPA
PLL,,,Aerodromo,PUJATO/LA LUCIA,"""33° 0'33""""S  61° 3'46""""W""",-61.06286,-33.00928,73,Metros,Pujato,1.5,NO,PRIVADO,NOCONTROL,RACE,,Nacional,NO,NO,SANTA FE
AGR,,,Aerodromo,ALTA GRACIA,"""31°39' 4""""S  64°23'38""""W""",-64.39388889,-31.65111111,533,Metros,Alta Gracia,2,E,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,CORDOBA
AVA,,,Aerodromo,ALVEAR/AEROPARQUE ROSARIO,"""33° 2'49""""S  60°35'51""""W""",-60.59756,-33.04691,26,Metros,Alvear,2.5,ENE,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
GCR,,,Aerodromo,GOBERNADOR CRESPO/AEROCLUB,"""30°23'14""""S  60°22' 9""""W""",-60.36916667,-30.38722222,52,Metros,Gobernador Crespo,4.5,SE,PUBLICO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,SANTA FE
HRM,,,Helipuerto,SAN MARTIN DE LOS ANDES/RANCHO DE MONTAÑA,"""40° 9' 8""""S  71°17' 7""""W""",-71.285379,-40.152264,1005,Metros,San Martin de los Andes,5,E,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,NEUQUEN
HRW,,,Helipuerto,RIO GRANDE/EA. RIO EWAN,"""54°14' 1""""S  67°12'48""""W""",-67.21324,-54.23355,33.7,Metros,Rio Grande,59,SE,PRIVADO,NOCONTROL,RASU,CIVIL,Nacional,NO,NO,TIERRA DEL FUEGO ANTARTIDA E ISLAS DEL ATLANTICO SUR
ILD,,,Aerodromo,CASILDA,"""33° 3'45""""S  61°12'35""""W""",-61.20973,-33.06242,77,Metros,Casilda,3,ONO,PUBLICO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
PAL,SADP,EPA,Aerodromo,EL PALOMAR,"""34°36'36""""S  58°36'45""""W""",-58.6125,-34.61,18,Metros,El Palomar,1.5,Lindando,PUBLICO,CONTROL,RACE,JOINT,Nacional,SI,NO,BUENOS AIRES
SQI,,,Aerodromo,CAÑADA ROSQUIN,"""32° 6'20""""S  61°36'49""""W""",-61.61348,-32.10557,67,Metros,Cañada Rosquin,5,S,PRIVADO,NOCONTROL,RACE,CIVIL,Nacional,NO,NO,SANTA FE
ILM,SADQ,,Aerodromo,QUILMES,"""34°42'23""""S  58°14'41""""W""",-58.24461,-34.70643,2,Metros,Quilmes,2,ENE,PRIVADO,AERADIO,RACE,,Nacional,NO,NO,BUENOS AIRES
VNS,,,Aerodromo,VILLA NUEVA/SUAREZ AVIACION,"""32°25'37""""S  63°18' 8""""W""",-63.30222222,-32.42694444,207,Metros,Villa Nueva,6,OSO,PRIVADO,NOCONTROL,RANO,AEROAPP,Nacional,NO,NO,CORDOBA
CLI,,,Aerodromo,CALILEGUA,"""23°46'54""""S  64°44'59""""W""",-64.74972222,-23.78166667,442,Metros,Calilegua,1.7,E,PRIVADO,NOCONTROL,RANO,CIVIL,Nacional,NO,NO,JUJUY
