06/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDX mWEIGHT HIST,indx_mweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_DATE_OVERRIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.000000,,,99.999996,,,100.000000,,,100.000003,,,100.000000,,,100.000000,,,100.000001,,,100.000001,,,99.999999,,,99.999999,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000000,,,100.000002,,,100.000000,,,99.999999,,,100.000000,,,100.000000,
VITROA MM,1.464795,,,,,,,,MEGACPO MM,0.856076,,GRUMAB MM,1.355425,,GRUMAB MM,1.355425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINFRA* MM,2.467272,,GCC* MM,0.688122297,,,,,,,,,
,,,,,,,,,OMAB MM,1.527936,,HCITY* MM,0.236579,,HCITY* MM,0.236579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLEVICPO MM,2.531346,,CHDRAUIB MM,0.421570922,,,,,,,,,
,,,,,,,,,ORBIA* MM,1.448398,,HERDEZ* MM,0.306876,,HERDEZ* MM,0.306876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALMEX* MM,5.274015,,GFNORTEO MM,8.467619598,,,,,,,,,
,,,,,,,,,PE&OLES* MM,1.147652,,IENOVA* MM,1.544311,,IENOVA* MM,1.544311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GFINBURO MM,2.009247695,,,,,,,,,
,,,,,,,,,PINFRA* MM,1.476694,,KIMBERA MM,2.067048,,KIMBERA MM,2.067048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GICSAB MM,0.202057375,,,,,,,,,
,,,,,,,,,RA MM,0.324457,,KOFUBL MM,2.254934,,KOFUBL MM,2.254934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERDEZ* MM,0.416284775,,,,,,,,,
,,,,,,,,,TLEVICPO MM,2.91009,,LABB MM,0.425739,,LABB MM,0.425739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMEXICOB MM,4.58496961,,,,,,,,,
,,,,,,,,,WALMEX* MM,10.726994,,LACOMUBC MM,0.405486,,LACOMUBC MM,0.405486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGUA* MM,0.148715567,,,,,,,,,
,,,,,,,,,,,,LALAB MM,0.502313,,LALAB MM,0.502313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLEVICPO MM,2.971267709,,,,,,,,,
,,,,,,,,,,,,LIVEPOLC MM,0.755713,,LIVEPOLC MM,0.755713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCITY* MM,0.316833394,,,,,,,,,
,,,,,,,,,,,,MEGACPO MM,0.810914,,MEGACPO MM,0.810914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACHOCOB MM,0.70357084,,,,,,,,,
,,,,,,,,,,,,NEMAKA MM,0.19312,,NEMAKA MM,0.19312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PE&OLES* MM,1.271648506,,,,,,,,,
,,,,,,,,,,,,OMAB MM,1.44733,,OMAB MM,1.44733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IENOVA* MM,1.574636394,,,,,,,,,
,,,,,,,,,,,,ORBIA* MM,1.371987,,ORBIA* MM,1.371987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIMBERA MM,2.237725843,,,,,,,,,
,,,,,,,,,,,,PE&OLES* MM,1.087107,,PE&OLES* MM,1.087107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LACOMUBC MM,0.525707258,,,,,,,,,
